Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0164 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0048 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0048 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0046 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0078 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0053 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0051 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0126 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0144 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0087 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0047 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0198 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0048 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.018 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0128 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0142 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0049 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.005 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.005 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0153 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0053 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0146 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.008 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0055 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0046 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0091 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0042 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0038 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0057 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0056 ms
