Algorytm Breath First Search; 9 miast; Długość ścieżki: 139; Czas: 8068.25 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 76; Czas: 142.605 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 76; Czas: 143.094 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 76; Czas: 135.548 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 153; Czas: 126.586 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 153; Czas: 127.948 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 153; Czas: 127.537 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 153; Czas: 134.091 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 153; Czas: 129.825 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 153; Czas: 128.196 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 153; Czas: 129.958 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 178; Czas: 131.177 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 178; Czas: 129.003 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 178; Czas: 141.814 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 178; Czas: 127.921 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 178; Czas: 129.244 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 178; Czas: 135.481 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 178; Czas: 139.659 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 159; Czas: 126.15 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 159; Czas: 127.822 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 159; Czas: 132.092 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 159; Czas: 130.203 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 159; Czas: 126.169 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 159; Czas: 133.294 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 159; Czas: 126.398 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 173; Czas: 132.935 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 173; Czas: 137.911 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 173; Czas: 130.634 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 173; Czas: 130.921 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 173; Czas: 125.801 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 173; Czas: 138.157 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 137; Czas: 129.138 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 137; Czas: 137.011 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 137; Czas: 127.066 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 137; Czas: 131.135 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 137; Czas: 130.299 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 137; Czas: 124.023 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 137; Czas: 137.066 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 110; Czas: 126.128 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 110; Czas: 129.469 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 110; Czas: 125.762 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 110; Czas: 130.189 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 110; Czas: 127.37 ms
