Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 174; Czas: 0.1632 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0131 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0254 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0058 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0146 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0055 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0166 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0123 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.014 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0157 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0055 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0054 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0148 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0059 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0048 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0149 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0057 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0054 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0045 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0934 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0091 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0049 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0069 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0049 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0072 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0046 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0053 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0045 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0054 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0153 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0052 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0055 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0058 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0089 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0054 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.007 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0043 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0044 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0132 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0063 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0057 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.005 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0055 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0055 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0034 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0327 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0161 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0046 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0056 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0151 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0061 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0071 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0051 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0074 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0049 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0056 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0161 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0056 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0051 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.009 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0039 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0047 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0051 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0062 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.004 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0053 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0053 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0032 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0049 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0087 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0149 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0054 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0095 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0056 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0041 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0036 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0203 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0076 ms
