Algorytm Best First Search; 9 miast; Długość ścieżki: 151; Czas: 1.7778 ms
Algorytm Best First Search; 4 miast; Długość ścieżki: 40; Czas: 0.0394 ms
Algorytm Best First Search; 4 miast; Długość ścieżki: 35; Czas: 0.0391 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 1.9885 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 2.2809 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 4.0653 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 1.5351 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 2.0197 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 136; Czas: 0.3097 ms
Algorytm Best First Search; 4 miast; Długość ścieżki: 35; Czas: 0.0207 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 1.4141 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 1.6326 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 2.3179 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 2.0424 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.5224 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 3.3855 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.9724 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.9949 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.6358 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.7293 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.7297 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4581 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4894 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.6407 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 4.318 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.8604 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8991 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.8462 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.1487 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8583 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.1695 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9758 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.6103 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8126 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.7066 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.7691 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.1136 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.799 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9297 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.5526 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9403 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0984 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.2467 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0059 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8556 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.005 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4554 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.8136 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.3078 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9682 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8583 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4694 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.5279 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.7061 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 3.6096 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4263 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.2422 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8768 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.2268 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.2232 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4709 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.8465 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.357 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.6708 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0129 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0929 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.5091 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.6136 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4584 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 3.0897 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0772 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9385 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.8502 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0452 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0055 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.8486 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.2609 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9505 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.5913 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0464 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9497 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9561 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.1466 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0239 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9001 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.3596 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4897 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0857 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.624 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.2882 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 4.1852 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.1786 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.1584 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4421 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.2857 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4768 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.3963 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0978 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 3.2825 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 3.0405 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.981 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9858 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.046 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4271 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0846 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.958 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8291 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.987 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9075 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8181 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.6514 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0431 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8794 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8894 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.8586 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 1.669 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 2.9191 ms
