Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0227 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0142 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0092 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0066 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0073 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.006 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0408 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0057 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0059 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0086 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0053 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0145 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0084 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 134; Czas: 0.0064 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0313 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.014 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0141 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0054 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0061 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0128 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.006 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0073 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0055 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0139 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0155 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0095 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0049 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0163 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0097 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0059 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0054 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0165 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0061 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.006 ms
