Liczba miast;Kadencja;Rodzaj ruchu;Parametr critical event;Długość najlepszej ścieżki;Czas znalezienia najlepszej ścieżki;Numer iteracji znalezienia najlepszej ścieżki;Najlepsza ścieżka
48;24;swap;2;1899;9.6415;65340;32 7 31 9 33 27 3 24 4 29 30 5 6 8 11 10 0 25 1 37 19 44 15 35 16 45 39 21 40 47 26 42 28 2 41 43 22 20 38 18 17 34 13 46 36 14 23 12 32
48;24;swap;2;1886;18.919;130940;0 25 1 9 33 27 2 28 3 24 4 29 30 31 5 8 32 7 23 34 13 46 36 35 14 16 45 39 21 47 26 22 41 43 42 40 20 19 44 15 18 17 12 6 10 11 37 38 0
48;24;swap;2;1879;2.65983;15154;19 0 25 1 9 33 27 3 24 4 29 30 5 31 6 10 11 8 32 7 23 34 35 14 16 45 39 21 40 47 26 42 28 2 41 43 22 20 38 37 18 17 12 13 46 36 15 44 19
48;24;swap;2;1868;0.855969;4868;25 1 9 33 27 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 14 15 44 19 39 21 47 26 42 28 2 41 43 22 40 37 18 17 46 36 16 45 20 38 0 25
48;24;swap;2;1921;11.0242;66944;40 26 9 33 27 2 28 3 24 4 29 30 31 5 6 10 11 8 32 7 23 34 35 15 44 19 20 38 37 0 25 47 22 41 43 42 1 18 17 12 13 46 36 14 16 45 39 21 40
48;24;swap;2;1874;6.61892;40617;0 25 9 33 27 2 28 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 14 16 45 39 21 40 47 26 22 41 43 42 1 37 38 18 17 46 36 15 19 44 20 0
48;24;swap;2;1886;26.1317;163672;39 21 40 47 26 42 28 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 15 19 44 38 0 25 1 9 33 27 2 41 43 22 20 37 18 17 46 36 14 16 45 39
48;24;swap;2;1876;26.4799;166954;25 1 9 33 27 28 2 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 15 44 19 39 21 40 47 26 22 41 43 42 37 18 17 46 36 14 16 45 20 38 0 25
48;24;swap;2;1942;0.354673;1981;40 47 26 1 9 33 27 3 24 4 29 30 31 5 6 8 32 7 23 34 13 46 36 14 35 16 45 20 38 0 25 28 2 41 43 42 22 19 44 15 18 17 12 10 11 37 39 21 40
48;24;swap;2;1868;2.37758;13589;0 25 1 9 33 27 3 24 4 29 30 5 31 6 10 11 8 32 7 23 12 13 34 35 15 19 44 39 21 47 26 42 28 2 41 43 22 40 38 18 17 46 36 14 16 45 20 37 0
48;24;swap;7;1790;11.1849;73257;33 27 2 28 3 24 4 29 30 31 5 6 10 8 11 37 18 17 12 32 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 47 26 42 22 41 43 40 20 38 0 25 1 9 33
48;24;swap;7;1827;11.8305;71716;28 3 24 4 29 30 5 31 7 23 12 32 6 10 8 11 37 18 17 34 13 46 36 35 14 15 16 45 39 19 44 21 47 26 41 43 42 22 40 20 38 0 25 1 9 33 27 2 28
48;24;swap;7;1777;4.6385;29838;25 1 9 33 27 3 24 4 29 30 31 5 6 10 8 11 18 17 12 32 7 23 34 13 46 36 14 35 15 16 45 39 19 44 21 47 26 42 28 2 41 43 22 40 20 37 38 0 25
48;24;swap;7;1870;1.73138;9880;20 11 10 9 33 27 2 28 3 24 4 29 30 31 5 6 8 32 7 23 12 13 34 35 16 45 39 21 40 47 26 22 41 43 42 1 0 25 37 38 18 17 46 36 14 15 44 19 20
48;24;swap;7;1833;21.8936;135711;32 9 33 27 28 2 41 43 42 22 40 20 37 38 18 17 34 13 46 36 14 35 15 16 45 39 19 44 21 47 26 0 25 1 10 11 8 6 3 24 4 29 30 5 31 7 23 12 32
48;24;swap;7;1790;10.6618;65314;30 5 24 4 29 3 6 10 11 8 9 33 27 28 2 41 43 42 22 19 44 15 16 45 39 21 40 47 26 1 0 25 20 38 37 18 17 13 34 46 36 35 14 23 12 32 7 31 30
48;24;swap;7;1834;11.164;57039;23 12 32 7 31 30 5 24 4 29 3 6 10 8 11 37 38 18 17 34 13 46 36 35 14 16 45 39 21 40 20 0 25 47 26 1 9 33 27 28 2 41 43 42 22 19 44 15 23
48;24;swap;7;1790;18.4113;100639;33 27 2 28 3 24 4 29 30 5 31 6 10 8 11 18 17 12 32 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 47 26 22 41 43 42 40 20 37 38 0 25 1 9 33
48;24;swap;7;1833;12.4054;55516;30 5 24 4 29 3 6 8 11 10 9 33 27 28 2 41 43 42 22 20 38 46 36 35 14 15 16 45 39 19 44 21 40 47 26 1 0 25 37 18 17 13 34 23 12 32 7 31 30
48;24;swap;7;1790;36.4404;158407;1 10 9 33 27 2 41 43 22 40 20 37 38 18 17 12 32 7 23 34 13 46 36 14 35 15 16 45 19 44 39 21 47 26 42 28 3 24 4 29 30 5 31 6 8 11 0 25 1
48;48;swap;7;1891;2.28641;16058;0 25 1 9 33 27 28 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 14 45 39 21 40 47 26 42 2 41 43 22 19 44 15 18 17 46 36 16 20 38 37 0
48;48;swap;7;1812;12.6171;73217;32 7 31 30 5 24 4 29 3 6 8 11 10 0 25 1 9 33 27 28 2 41 43 42 19 44 15 16 45 39 21 40 47 26 22 20 38 37 18 17 13 46 36 14 35 34 23 12 32
48;48;swap;7;1825;18.3193;109275;21 40 20 38 37 0 25 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 13 46 36 14 35 18 17 12 32 6 9 33 27 28 2 41 43 42 22 19 44 15 16 45 39 21
48;48;swap;7;1788;1.76845;9474;0 25 1 9 33 27 3 24 4 29 30 5 31 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 40 47 26 42 28 2 41 43 22 20 38 37 18 17 12 32 6 8 11 10 0
48;48;swap;7;1785;14.325;87069;24 4 29 30 5 31 6 10 8 11 37 18 17 12 32 7 23 34 13 46 36 14 35 15 16 45 39 21 40 47 26 42 28 2 41 43 22 44 19 20 38 0 25 1 9 33 27 3 24
48;48;swap;7;1920;5.68356;32426;40 47 26 1 9 33 27 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 15 19 44 20 38 0 25 28 2 41 43 42 22 37 18 17 46 36 14 16 45 39 21 40
48;48;swap;7;1797;10.2803;62179;39 21 40 47 26 1 10 11 8 3 24 4 29 30 5 31 6 9 33 27 28 2 41 43 42 22 19 44 20 38 37 0 25 18 17 12 32 7 23 34 13 46 36 14 35 15 16 45 39
48;48;swap;7;1879;13.4228;78523;37 0 25 1 9 33 27 3 24 4 29 30 5 31 6 10 11 8 32 7 23 34 35 14 15 44 19 39 21 47 26 42 28 2 41 43 22 40 20 38 18 17 12 13 46 36 16 45 37
48;48;swap;7;1801;18.7059;105109;0 25 1 9 33 27 2 28 3 24 4 29 30 5 31 7 23 34 13 46 36 14 35 15 16 45 39 19 44 21 47 26 41 43 42 22 40 20 37 38 18 17 12 32 6 8 11 10 0
48;48;swap;7;1846;6.17846;33691;12 32 7 31 30 5 24 4 29 3 6 8 11 10 9 33 27 28 2 41 43 42 22 20 38 18 46 36 14 35 16 45 21 40 47 26 1 0 25 37 39 19 44 15 17 13 34 23 12
48;48;swap;2;1879;1.40265;9534;19 0 25 1 9 33 27 3 24 4 29 30 5 31 6 10 11 8 32 7 23 34 35 14 16 45 39 21 40 47 26 42 28 2 41 43 22 20 37 38 18 17 12 13 46 36 15 44 19
48;48;swap;2;1822;21.9893;136572;20 37 38 18 17 12 32 6 10 11 8 3 24 4 29 30 5 31 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 40 47 26 1 0 25 9 33 27 28 2 41 43 42 22 20
48;48;swap;2;1886;0.846773;4659;0 25 1 9 33 27 2 28 3 24 4 29 30 5 31 6 8 32 7 23 34 13 46 36 14 35 45 39 21 40 47 26 42 41 43 22 20 19 44 15 16 18 17 12 10 11 37 38 0
48;48;swap;2;1890;25.524;164224;37 0 25 1 9 33 27 3 24 4 29 30 5 31 6 10 8 11 18 17 13 46 36 14 16 45 39 21 40 47 26 42 28 2 41 43 22 19 44 15 12 32 7 23 34 35 20 38 37
48;48;swap;2;1879;3.22927;18573;37 0 25 1 9 33 27 3 24 4 29 30 31 5 6 10 11 8 32 7 23 34 35 14 15 44 19 39 21 47 26 42 28 2 41 43 22 40 18 17 12 13 46 36 16 45 20 38 37
48;48;swap;2;1874;6.43038;39243;25 1 9 33 27 2 28 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 14 16 45 39 21 40 47 26 22 41 43 42 37 38 18 17 46 36 15 44 19 20 0 25
48;48;swap;2;1920;1.04476;5848;14 23 12 32 7 31 6 24 4 29 30 5 10 0 25 1 9 33 27 3 8 11 37 38 18 45 39 21 40 47 26 42 28 2 41 43 22 20 19 44 15 16 17 13 34 46 36 35 14
48;48;swap;2;1845;13.4253;80468;0 25 1 9 33 27 2 28 3 24 4 29 30 5 31 8 32 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 47 26 41 43 42 22 40 20 38 37 18 17 12 6 10 11 0
48;48;swap;2;1890;7.05041;45724;37 0 25 1 9 33 27 3 24 4 29 30 31 5 6 10 8 11 18 17 13 46 36 14 16 45 39 21 40 47 26 42 28 2 41 43 22 19 44 15 12 32 7 23 34 35 20 38 37
48;48;swap;2;1904;1.63996;9444;31 5 6 9 33 27 28 3 24 4 29 30 8 11 10 0 25 1 37 38 18 46 36 14 35 45 39 21 47 26 42 2 41 43 22 40 20 19 44 15 16 17 13 34 23 12 32 7 31
48;96;swap;2;1874;12.5083;75713;25 1 9 33 27 2 28 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 15 44 19 39 21 40 47 26 22 41 43 42 37 38 18 17 46 36 14 16 45 20 0 25
48;96;swap;2;1949;5.53349;31416;13 12 32 9 33 27 3 24 4 29 30 5 31 6 10 11 8 7 23 35 15 16 45 39 21 40 47 26 1 0 25 28 2 41 43 42 22 19 44 20 37 38 18 17 46 36 14 34 13
48;96;swap;2;1869;22.6327;138730;38 0 25 1 9 33 27 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 45 39 21 40 47 26 42 28 2 41 43 22 19 44 15 16 18 17 46 36 14 20 37 38
48;96;swap;2;1874;9.3652;57106;25 1 9 33 27 2 28 3 24 4 29 30 5 31 6 10 11 8 32 7 23 12 13 34 35 14 15 44 19 39 21 40 47 26 22 41 43 42 37 38 18 17 46 36 16 45 20 0 25
48;96;swap;2;1874;8.50452;50588;20 0 25 9 33 27 2 28 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 16 45 39 21 40 47 26 22 41 43 42 1 37 38 18 17 46 36 14 15 44 19 20
48;96;swap;2;1890;2.28241;14682;37 0 25 1 9 33 27 3 24 4 29 30 31 5 6 10 8 11 18 17 13 46 36 14 16 45 39 21 40 47 26 42 28 2 41 43 22 19 44 15 12 32 7 23 34 35 20 38 37
48;96;swap;2;1893;15.3312;96115;20 0 25 1 9 33 27 2 28 3 24 4 29 30 5 31 6 10 37 38 18 17 46 36 14 16 45 39 21 40 47 26 22 41 43 42 11 8 32 7 23 12 13 34 35 15 44 19 20
48;96;swap;2;1912;2.52365;15223;0 25 1 9 33 27 28 3 24 4 29 30 5 31 6 10 8 11 37 18 17 13 46 36 14 16 45 39 21 40 47 26 42 2 41 43 22 19 44 15 12 32 7 23 34 35 20 38 0
48;96;swap;2;1879;11.3467;70986;20 0 25 1 9 33 27 3 24 4 29 30 5 31 6 10 11 8 32 7 23 34 35 14 16 45 39 21 47 26 42 28 2 41 43 22 40 37 38 18 17 12 13 46 36 15 19 44 20
48;96;swap;2;1830;14.1741;88618;42 1 9 33 27 2 28 3 24 4 29 30 5 31 6 10 11 8 32 7 23 12 13 34 46 36 14 35 15 16 18 17 45 39 19 44 21 40 20 37 38 0 25 47 26 22 41 43 42
48;96;swap;7;1944;20.7971;131523;40 47 26 1 9 33 27 3 24 4 29 30 5 31 6 10 11 8 32 7 23 34 35 14 16 45 20 38 37 0 25 22 42 28 2 41 43 19 44 15 18 17 12 13 46 36 39 21 40
48;96;swap;7;1891;26.0983;163879;0 25 1 9 33 27 28 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 16 45 39 21 40 47 26 42 2 41 43 22 19 44 15 18 17 46 36 14 20 38 37 0
48;96;swap;7;1862;5.65486;34628;14 45 39 21 40 20 37 38 0 25 1 10 11 8 7 23 12 32 3 24 4 29 30 5 31 6 9 33 27 28 2 41 43 22 47 26 42 19 44 15 16 18 17 13 34 46 36 35 14
48;96;swap;7;1785;21.6448;135201;25 1 9 33 27 3 24 4 29 30 5 31 6 10 8 11 37 18 17 12 32 7 23 34 13 46 36 14 35 15 16 45 39 21 40 47 26 42 28 2 41 43 22 44 19 20 38 0 25
48;96;swap;7;1832;21.8889;134836;26 22 41 43 42 1 11 8 9 33 27 2 28 3 24 4 29 30 31 5 6 10 0 25 37 44 19 20 38 18 17 12 32 7 23 34 13 46 36 14 35 15 16 45 39 21 40 47 26
48;96;swap;7;1894;17.6656;111269;0 25 1 9 33 27 2 28 3 24 4 29 30 5 31 6 10 8 32 7 23 12 13 34 35 14 16 45 39 21 40 47 26 22 41 43 42 11 37 38 18 17 46 36 15 19 44 20 0
48;96;swap;7;1794;21.2572;131508;4 29 3 8 11 10 9 33 27 28 2 41 43 42 1 0 25 47 26 22 19 44 15 16 45 39 21 40 20 38 37 18 17 34 13 46 36 35 14 23 12 32 7 31 30 5 6 24 4
48;96;swap;7;1917;1.77054;11046;1 18 17 12 32 6 10 11 8 9 33 27 28 3 24 4 29 30 5 31 7 23 34 13 46 36 14 35 15 16 45 39 21 40 22 44 19 20 38 37 0 25 47 26 2 41 43 42 1
48;96;swap;7;1919;22.9009;137019;38 37 0 25 1 9 33 24 4 29 30 31 5 6 10 11 8 32 7 23 34 13 46 36 14 35 18 17 12 3 27 28 2 41 43 42 22 40 47 26 19 44 15 16 45 39 21 20 38
48;96;swap;7;1784;17.172;103772;44 21 40 47 26 22 41 43 42 1 9 33 27 2 28 3 24 4 29 30 5 31 6 8 11 10 0 25 20 38 37 18 17 12 32 7 23 34 13 46 36 14 35 15 16 45 39 19 44
48;24;invert;2;1975;5.18477;21194;47 26 1 9 33 27 2 28 3 24 4 29 30 31 5 6 10 8 11 18 17 46 36 14 16 45 20 37 0 25 41 43 42 22 40 38 12 32 7 23 13 34 35 15 44 19 39 21 47
48;24;invert;2;1959;20.9651;80816;0 25 1 9 33 27 28 3 24 4 29 30 5 31 8 32 6 10 11 37 18 17 13 46 36 14 45 39 21 40 47 26 42 2 41 43 22 19 44 15 12 7 23 34 35 16 20 38 0
48;24;invert;2;2015;31.8071;125060;40 47 26 1 9 33 27 3 24 4 29 30 5 6 8 32 7 31 10 11 37 18 17 46 36 16 45 20 38 0 25 28 2 41 43 42 22 19 44 15 23 12 13 34 35 14 39 21 40
48;24;invert;2;1998;41.6433;161332;0 25 1 9 33 27 2 28 3 24 4 29 30 7 31 5 10 8 11 18 17 46 36 16 45 20 38 37 39 21 40 47 26 41 43 42 22 19 44 15 35 14 23 34 13 12 32 6 0
48;24;invert;2;1985;7.36835;29067;0 25 1 9 33 27 28 3 24 4 29 30 5 6 8 32 7 31 10 11 18 17 46 36 16 39 21 40 47 26 42 2 41 43 22 19 44 15 23 12 13 34 35 14 45 20 38 37 0
48;24;invert;2;2050;18.8857;72713;20 0 25 1 9 33 27 3 24 4 29 30 8 32 7 31 5 6 10 11 18 17 46 36 14 16 45 38 37 47 26 42 28 2 41 43 22 19 44 15 23 12 13 34 35 39 21 40 20
48;24;invert;2;1985;39.9739;158895;0 25 1 9 33 27 28 3 24 4 29 30 7 31 5 6 8 11 18 17 13 46 36 16 45 21 47 26 42 2 41 43 22 40 20 38 37 39 19 44 15 35 14 34 23 12 32 10 0
48;24;invert;2;1833;17.1776;65703;0 25 1 9 33 27 2 28 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 34 13 46 36 35 14 15 16 18 17 45 39 19 44 21 47 26 42 41 43 22 40 20 38 37 0
48;24;invert;2;1974;35.9813;138077;40 0 25 1 9 33 27 3 24 4 29 30 5 31 6 10 11 8 32 7 23 12 46 36 16 45 20 38 37 47 26 42 28 2 41 43 22 19 44 15 18 17 13 34 35 14 39 21 40
48;24;invert;2;1985;28.2039;89924;0 25 1 9 33 27 28 3 24 4 29 30 6 8 32 7 31 5 10 11 37 18 17 46 36 16 45 39 21 40 47 26 42 2 41 43 22 19 44 15 23 12 13 34 35 14 20 38 0
48;24;invert;7;1986;39.2802;147957;32 7 31 5 9 33 27 2 28 3 24 4 29 30 6 8 11 10 0 25 1 18 17 46 36 14 23 35 15 16 45 39 21 40 47 26 42 22 41 43 19 44 20 37 38 13 34 12 32
48;24;invert;7;2028;6.02143;22659;0 25 1 9 33 27 28 3 24 4 29 30 6 32 7 31 5 10 8 11 18 17 46 36 14 16 45 39 21 40 47 26 2 41 43 42 22 19 44 15 23 12 13 34 35 20 37 38 0
48;24;invert;7;1867;39.0542;153257;1 9 33 27 28 3 24 4 29 30 31 5 6 10 8 11 0 25 18 17 12 32 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 40 20 37 38 47 26 22 41 2 43 42 1
48;24;invert;7;1881;28.6967;108826;25 1 9 33 27 2 28 3 24 4 29 30 5 31 6 10 8 32 12 7 23 34 13 46 36 14 35 15 16 18 17 45 39 19 44 21 47 26 41 43 42 22 40 20 37 38 11 0 25
48;24;invert;7;1853;26.5305;100805;0 25 1 9 33 27 28 3 24 4 29 30 31 5 6 8 11 10 18 12 32 7 23 34 13 46 36 35 14 15 16 17 45 19 44 39 21 40 47 26 42 2 41 43 22 20 38 37 0
48;24;invert;7;1845;28.9568;110096;0 25 1 10 11 8 9 33 27 3 24 4 29 30 5 31 7 23 12 32 6 18 17 13 34 46 36 14 35 15 16 45 39 19 44 21 47 26 42 28 2 41 43 22 40 20 38 37 0
48;24;invert;7;1916;37.5757;151153;0 25 1 9 33 27 28 3 24 4 29 30 5 31 6 10 8 11 18 17 46 36 14 16 45 39 21 40 47 26 42 2 41 43 22 19 44 15 12 32 7 23 13 34 35 20 38 37 0
48;24;invert;7;2099;8.00838;30120;0 25 1 9 33 27 28 3 24 4 29 30 5 8 32 7 31 10 11 18 17 36 14 16 45 39 21 47 26 42 22 41 19 44 15 35 34 13 46 23 12 6 2 43 40 20 38 37 0
