Liczba miast;Wielkość populacji;Współczynnik krzyżowania;Współczynnik mutacji;Metoda krzyżowania;Metoda mutacji;Długość najlepszej ścieżki;Czas znalezienia najlepszej ścieżki;Najlepsza ścieżka
48;12;0.8;0.1;Single Point;swap;1954;47.8673;7 23 12 32 6 10 8 11 0 25 1 9 33 27 2 28 3 24 4 29 30 5 31 37 38 18 17 46 36 35 14 16 45 20 39 21 40 47 26 42 22 41 43 19 44 15 13 34 7
48;12;0.8;0.1;Single Point;swap;2027;54.065;32 6 10 8 11 0 25 47 26 42 22 40 20 37 38 18 17 46 36 14 35 16 45 39 21 1 9 33 27 28 3 24 4 29 30 5 7 31 2 41 43 19 44 15 13 34 23 12 32
48;12;0.8;0.1;Single Point;swap;2071;56.5778;34 7 23 12 32 6 10 8 11 0 1 25 47 26 22 40 20 38 37 18 17 46 36 35 14 16 45 39 21 42 28 3 33 27 24 4 29 30 5 31 9 2 41 43 19 44 15 13 34
48;12;0.8;0.1;Single Point;swap;2132;57.0292;12 32 6 8 11 10 0 25 1 47 26 22 40 20 38 37 18 17 46 36 35 14 16 45 39 21 42 28 3 24 4 33 27 29 30 5 7 31 9 2 41 43 19 44 15 13 34 23 12
48;12;0.8;0.1;Single Point;swap;2127;28.0773;32 8 11 10 0 25 1 47 26 22 40 20 38 37 18 17 46 36 14 35 16 45 39 21 42 28 3 6 9 33 27 24 4 29 30 5 7 31 2 41 43 19 44 15 13 34 23 12 32
48;12;0.8;0.1;Single Point;swap;2071;54.9305;7 23 12 32 6 10 8 11 0 1 25 47 26 22 40 20 38 37 18 17 46 36 14 35 16 45 39 21 42 28 3 33 27 24 4 29 30 5 31 9 2 41 43 19 44 15 13 34 7
48;12;0.8;0.1;Single Point;swap;2008;37.7205;12 32 10 11 0 25 1 9 33 27 2 28 3 24 4 29 30 5 6 8 7 31 18 17 46 36 35 14 16 45 20 38 37 39 21 40 47 26 42 22 41 43 19 44 15 13 34 23 12
48;12;0.8;0.1;Single Point;swap;2119;5.24944;10 0 25 1 9 33 27 2 28 3 24 4 29 30 5 6 8 32 7 31 11 37 38 18 17 46 36 14 35 16 45 20 40 47 26 42 22 39 21 41 43 19 44 15 13 34 23 12 10
48;12;0.8;0.1;Single Point;swap;2109;29.084;12 10 11 0 1 25 47 26 22 40 20 38 37 18 17 46 36 14 35 16 45 39 21 42 28 3 33 27 24 4 29 30 5 6 8 32 7 31 9 2 41 43 19 44 15 13 34 23 12
48;12;0.8;0.1;Single Point;swap;2093;13.9846;32 6 10 8 11 0 25 1 47 26 22 40 20 37 38 18 17 46 36 35 14 16 45 39 21 42 28 3 33 27 24 4 29 30 5 7 31 9 2 41 43 19 44 15 13 34 23 12 32
