Liczba miast;Wielkość populacji;Współczynnik krzyżowania;Współczynnik mutacji;Metoda krzyżowania;Metoda mutacji;Długość najlepszej ścieżki;Czas znalezienia najlepszej ścieżki;Najlepsza ścieżka
48;24;0.8;0.25;Cycle;swap;2052;0.0023086;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.25;Cycle;swap;2052;27.3883;13 34 46 36 14 16 45 20 37 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 38 13
48;24;0.8;0.25;Cycle;swap;2052;0.0043159;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.25;Cycle;swap;2052;14.5991;13 34 46 36 14 16 45 20 38 37 18 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 17 13
48;24;0.8;0.25;Cycle;swap;2052;0.0045977;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.25;Cycle;swap;2061;5.79369;13 34 46 36 14 16 45 38 37 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 10 8 11 0 25 9 29 30 5 31 7 23 35 15 19 44 39 21 20 13
48;24;0.8;0.25;Cycle;swap;2052;0.026683;13 34 46 36 14 16 45 20 37 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 38 13
48;24;0.8;0.25;Cycle;swap;2052;18.8496;13 34 46 36 14 16 45 20 37 38 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 18 13
48;24;0.8;0.25;Cycle;swap;2052;35.3261;13 34 46 36 14 16 45 20 38 37 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 18 13
48;24;0.8;0.25;Cycle;swap;2052;0.0125705;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.35;Cycle;swap;2052;0.0252302;13 34 46 36 14 16 45 20 37 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 38 13
48;24;0.8;0.35;Cycle;swap;2052;0.0070392;13 34 46 36 14 16 45 20 38 37 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 18 13
48;24;0.8;0.35;Cycle;swap;2052;6.53201;13 34 46 36 14 16 45 20 37 38 18 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 17 13
48;24;0.8;0.35;Cycle;swap;2052;22.3625;34 13 46 36 14 16 45 37 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 20 34
48;24;0.8;0.35;Cycle;swap;2052;7.49449;34 13 46 36 14 16 45 38 37 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 20 34
48;24;0.8;0.35;Cycle;swap;2052;0.0087028;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.35;Cycle;swap;2052;5.18008;13 34 46 36 14 16 45 20 38 37 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 18 13
48;24;0.8;0.35;Cycle;swap;2052;0.029948;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 37 13
48;24;0.8;0.35;Cycle;swap;2052;8.14887;34 13 46 36 14 16 45 20 38 37 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 18 34
48;24;0.8;0.35;Cycle;swap;2052;0.206812;13 34 46 36 14 16 45 20 37 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 38 13
48;24;0.8;0.5;Cycle;swap;2052;0.502758;34 13 46 36 14 16 45 20 37 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 38 34
48;24;0.8;0.5;Cycle;swap;2041;4.61143;34 13 46 36 14 16 45 20 38 18 17 12 32 6 11 8 9 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 3 24 4 29 30 5 31 7 23 35 15 19 44 39 21 37 34
48;24;0.8;0.5;Cycle;swap;2052;0.0169751;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.5;Cycle;swap;2052;0.0058526;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.5;Cycle;swap;2052;2.57379;34 13 46 36 14 16 45 20 38 37 18 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 17 34
48;24;0.8;0.5;Cycle;swap;2052;0.357945;13 34 46 36 14 16 45 20 37 38 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 18 13
48;24;0.8;0.5;Cycle;swap;2052;0.0054414;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.5;Cycle;swap;2052;0.0050176;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.5;Cycle;swap;2052;1.7176;13 34 46 36 14 16 45 20 37 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 38 13
48;24;0.8;0.5;Cycle;swap;2052;0.0211282;13 34 46 36 14 16 45 20 38 37 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 18 13
48;24;0.8;0.25;Cycle;insert;1889;17.7677;13 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 35 14 15 16 45 39 19 44 21 40 20 38 37 0 25 18 17 46 36 34 13
48;24;0.8;0.25;Cycle;insert;1896;2.23342;38 18 17 46 36 14 13 12 32 6 9 33 27 28 2 41 43 42 22 40 47 26 0 25 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 15 16 45 39 19 44 21 20 37 38
48;24;0.8;0.25;Cycle;insert;1932;2.5882;38 37 18 17 46 36 13 12 32 6 3 2 41 43 42 22 47 26 1 0 25 10 11 8 9 33 27 28 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 40 20 38
48;24;0.8;0.25;Cycle;insert;1889;9.31789;18 17 46 36 13 12 32 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 40 20 0 25 37 38 18
48;24;0.8;0.25;Cycle;insert;1889;25.0352;21 20 37 38 0 25 18 17 46 36 14 13 12 32 6 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 15 16 45 39 19 44 21
48;24;0.8;0.25;Cycle;insert;1889;6.11894;36 13 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 40 20 38 0 25 37 18 17 46 36
48;24;0.8;0.25;Cycle;insert;1896;0.935256;20 37 38 18 17 46 36 14 13 12 32 6 9 33 27 28 2 41 43 42 22 40 47 26 0 25 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 15 16 45 39 19 44 21 20
48;24;0.8;0.25;Cycle;insert;1889;0.278641;36 13 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 40 20 38 0 25 37 18 17 46 36
48;24;0.8;0.25;Cycle;insert;1889;1.89326;18 17 46 36 13 12 32 6 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 20 38 37 0 25 18
