Algorytm przegladu zupelnego; 4 miast; czas: 0.0007 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0015 ms
Algorytm losowy; 4 miast; czas: 0.001 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0006 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0009 ms
Algorytm losowy; 4 miast; czas: 0.001 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0006 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0009 ms
Algorytm losowy; 4 miast; czas: 0.0009 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.001 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.001 ms
Algorytm losowy; 4 miast; czas: 0.0009 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0005 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0007 ms
Algorytm losowy; 4 miast; czas: 0.001 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0006 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0009 ms
Algorytm losowy; 4 miast; czas: 0.0012 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0014 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0016 ms
Algorytm losowy; 4 miast; czas: 0.0011 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0008 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0015 ms
Algorytm losowy; 4 miast; czas: 0.001 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0007 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0013 ms
Algorytm losowy; 4 miast; czas: 0.0009 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0007 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0012 ms
Algorytm losowy; 4 miast; czas: 0.0015 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0008 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0013 ms
Algorytm losowy; 4 miast; czas: 0.0014 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.004 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0012 ms
Algorytm losowy; 4 miast; czas: 0.001 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0006 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.001 ms
Algorytm losowy; 4 miast; czas: 0.0012 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0031 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0012 ms
Algorytm losowy; 4 miast; czas: 0.001 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.001 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0035 ms
Algorytm losowy; 4 miast; czas: 0.001 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0005 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0014 ms
Algorytm losowy; 4 miast; czas: 0.0009 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0124 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0082 ms
Algorytm losowy; 4 miast; czas: 0.0077 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0007 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0091 ms
Algorytm losowy; 4 miast; czas: 0.0012 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0009 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0027 ms
Algorytm losowy; 4 miast; czas: 0.0011 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0006 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.001 ms
Algorytm losowy; 4 miast; czas: 0.0014 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0009 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0009 ms
Algorytm losowy; 4 miast; czas: 0.001 ms
